source_id,ra,dec,parallax,pseudocolour,bp_rp
2251048881604546176,295.87051624507274,69.39487525095596,0.6535419471227693,,1.8059235
2251048881604546304,295.8404418619374,69.39771527791412,-0.29423681823636605,1.3654968,2.1175117
2251048881604546432,295.87451931268834,69.40249240229599,-0.6698898517287234,,0.7082424
2251048885898734592,295.83950624596105,69.39858909863868,0.49438382037443634,1.0897067,2.1504936
2251048885900062976,295.8673239277564,69.39134283085734,0.4583760953539467,,1.2180729
2251048885900063488,295.88474354479524,69.39931569993198,0.8682874951477165,,1.0051994
2251048915964284160,295.82099680813377,69.39255962697929,0.0428954396654085,,1.3133602
2251048915964284416,295.81547233530483,69.39355626925328,0.5100566795937823,1.3007636,1.8484612
2251048920258985216,295.80332610910574,69.40650581861682,1.3100413056071143,1.7797303,0.6996746
2251048920259270016,295.81835409668804,69.40416820648849,0.008692932924231123,1.3089676,1.5657921
2251048954618848640,295.83312978256674,69.40866268700658,0.12133459721199048,1.2525058,1.7403793
2251048954618849280,295.8137400474063,69.41543766428025,,,1.1705818
2251048954619538560,295.82847103036374,69.41656878954414,0.9316102307132016,,1.1620827
2251048984683761664,295.8876079617997,69.40284260985106,0.471289891780099,,1.3551407
2012656657429558656,356.66778782677517,61.34422321637854,0.4021732723683818,,1.7716293
2012656657430449280,356.6979307909837,61.36419207102569,0.14627520954837867,1.3602605,2.092617
2012656657430527104,356.6931862984171,61.35531248785947,,,1.5467415
2012656687481586688,356.70404328144247,61.35752893711277,0.014039779554584169,1.3303676,2.198948
2012656687481622784,356.7325827817227,61.37096982550195,0.8322180870245597,1.3112248,2.092474
2012656687481636480,356.7325475957152,61.37692000805616,-0.047792709620813424,1.3604972,1.9703121
2012656691782772864,356.7327125325731,61.377310561566254,-0.10593960219246516,1.4237379,
2012656691782791040,356.71065961461426,61.36490751357908,-0.2983081933778716,1.4572641,1.6167164
2012656691782795392,356.7153521833124,61.364445535000115,0.5042795037451947,1.0354474,
2012656691783667456,356.7036241460789,61.36568254640485,0.7246314184894616,1.2043813,1.5825939
2012656691783667840,356.7070193120372,61.368024413113176,1.3355525947084126,1.2415768,1.9734879
2012656691783671424,356.7225362846967,61.36436627428161,0.08571882720288235,1.3062164,1.3731632
2012656691783809152,356.7089381069485,61.36288765704622,0.9244952514316356,1.4537674,1.5219307
2012656691789288320,356.7219989790279,61.36857210037474,0.3460196494610049,,1.2572098
2012656691789291008,356.7336325510086,61.36811062664228,0.7242209310559479,,1.231597
2013232904595022592,344.4052026206795,58.44315331770948,0.8851412927986679,1.3066266,1.7535686
2013232904595028992,344.413737867703,58.44160835523974,0.47761549144495496,1.2763277,1.541153
2013232904595029760,344.42386329594683,58.4444728941769,0.5586387595993486,1.3531455,1.8847942
2013232904596489088,344.40531772568704,58.446770422955844,-0.06541564145717041,1.4591799,1.6086235
2013232904596504704,344.4197796944616,58.44377023845738,0.7088084986517873,1.3764207,1.5042553
2013232904600042624,344.40756181023386,58.450134999992905,0.5728515642081258,,1.4448948
2013232904600044928,344.3999352685138,58.44302428614878,0.1275861572101637,,1.3274841
2013232904600046464,344.40966904455837,58.443242852193734,0.3160682434532521,,2.2242575
2013232904600047104,344.4203064681085,58.44655400549383,0.4292137605208777,,1.9736042
2013232904601276544,344.4217017810235,58.44377598361164,0.3228439425707895,1.2530886,1.966896
2013232934654895232,344.3675367852066,58.4380182866145,0.2984952976400855,,1.4603729
2013232934654906880,344.3705538730757,58.44192858784206,0.23108553157999429,,2.0215397
2013232934654909824,344.3633429510079,58.442770732472816,0.07296391454389456,,1.650198
2013232934654914560,344.3834120192581,58.44232746360855,0.42677196390696287,,1.6008434
5823825368192961664,233.77105725171032,-67.04691447594217,-0.77824855111424,1.3218578,
5823825368192961792,233.77129550853243,-67.04731214241437,0.316459184741275,1.314912,1.3450966
5823825368192963072,233.77730087395906,-67.04571316085261,0.38772273964533865,,1.1546116
5823825368192975488,233.75238047590756,-67.04782115103903,-0.10209316034203188,1.5557078,
5823825368192975616,233.75259549702236,-67.04734473963674,0.5576378150500625,1.4672464,1.0982304
5823825368192979840,233.763978648545,-67.04415760577132,1.7367327071027576,1.4397762,
5823825368192979968,233.76512097837931,-67.04409156969648,0.24587166928001875,1.2743099,1.6634426
5823825368196646656,233.77896830856523,-67.05663036019423,0.5686544846969513,,1.6382408
5823825368196647040,233.77422704610086,-67.05454371078565,0.24634983892908827,1.573358,1.3575764
5823825368196648832,233.76683956986085,-67.05064027297723,-0.7356451938300366,1.3940743,
5823825368197024512,233.76005052585373,-67.05366496157377,-0.01276704235673497,1.4694622,1.5826645
5823825368197025152,233.76233018526358,-67.05005131921631,0.1566868434553042,1.4113479,0.9393139
5823825368197511808,233.7508368350202,-67.04887585889949,-0.9885905360069509,1.3351694,1.5951519
5823825368197514880,233.7602262740967,-67.0461411457125,0.032607785070967676,1.1509326,
5823825368197515520,233.76264154638037,-67.04456732660022,,,
5823825368197515776,233.75656787724878,-67.05370707734603,0.16209814906997105,1.3665324,1.9446697
2252358404249966592,285.1505783605251,63.18509126576335,0.37481320556908104,,0.78552437
2252358434312978432,285.1013465969321,63.18668589822821,1.7667429600737172,,2.1468964
2252358438608397440,285.0963526174137,63.188758739333316,0.9534196268066528,1.2134562,2.0879822
2252358468672061312,285.12547834014765,63.20015241242259,2.7857153120051894,,0.7007103
2252358468672722176,285.10672989060134,63.198443555406016,1.0713265394524136,1.2789896,2.1494846
2252358468672725632,285.1127789378003,63.20263737433652,4.412712926703045,,2.2352343
